,label,SMS Message,Website,W-count,F-WordCount,Spamword
0,0,"['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amor', 'wat']",0,1,0,0
1,0,"['ok', 'lar', 'joke', 'wif', 'u', 'oni']",0,0,0,0
2,1,"['free', 'entri', '2', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005', 'text', 'fa', '87121', 'receiv', 'entri', 'questionstd', 'txt', 'ratetc', ""'s"", 'appli', '08452810075over18', ""'s""]",0,1,0,1
3,0,"['u', 'dun', 'say', 'earli', 'hor', 'u', 'c', 'alreadi', 'say']",0,0,0,0
4,0,"['nah', ""n't"", 'think', 'goe', 'usf', 'live', 'around', 'though']",0,0,0,0
5,1,"['freemsg', 'hey', 'darl', ""'s"", '3', 'week', ""'s"", 'word', 'back', ""'d"", 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', '£150', 'rcv']",0,1,0,1
6,0,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']",0,0,0,0
7,0,"['per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', ""'"", 'set', 'callertun', 'caller', 'press', '*9', 'copi', 'friend', 'callertun']",0,1,0,0
8,1,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', '£900', 'prize', 'reward', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hour']",0,1,0,1
9,1,"['mobil', '11', 'month', 'u', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free', '08002986030']",0,1,1,1
10,0,"[""'m"", 'gon', 'na', 'home', 'soon', ""n't"", 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 've', 'cri', 'enough', 'today']",0,1,0,0
11,1,"['six', 'chanc', 'win', 'cash', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150p/day', '6day', '16+', 'tsandc', 'appli', 'repli', 'hl', '4', 'info']",0,1,0,1
12,1,"['urgent', '1', 'week', 'free', 'membership', '£100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']",1,1,0,1
13,0,"['ve', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']",0,1,0,0
14,0,"['date', 'sunday']",0,0,0,0
15,1,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'http//wap', 'xxxmobilemovieclubcomn=qjkgighjjgcbl']",1,1,0,1
16,0,"['oh', 'ki', ""'m"", 'watch']",0,0,0,0
17,0,"['eh', 'u', 'rememb', '2', 'spell', 'name', 'yes', 'v', 'naughti', 'make', 'v', 'wet']",0,1,0,1
18,0,"['fine', 'that\x92', 'way', 'u', 'feel', 'that\x92', 'way', 'gota', 'b']",0,0,0,0
19,1,"['england', 'v', 'macedonia', 'dont', 'miss', 'goals/team', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'trywal', 'scotland', '4txt/ú120', 'poboxox36504w45wq', '16+']",0,1,0,1
20,0,"['serious', 'spell', 'name']",0,0,0,0
21,0,"['‘', 'go', 'tri', '2', 'month', 'ha', 'ha', 'joke']",0,0,0,1
22,0,"['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']",0,0,0,0
23,0,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']",0,1,0,0
24,0,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']",0,0,0,0
25,0,"['forc', 'eat', 'slice', ""'m"", 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', ""'m"", 'sick', 'turn', 'pizza', 'lol']",0,1,0,0
26,0,"['lol', 'alway', 'convinc']",0,0,0,0
27,0,"['catch', 'bus', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', ""'s"", 'left', 'dinner', 'feel', 'love']",0,1,0,0
28,0,"[""'m"", 'back', 'amp', 're', 'pack', 'car', 'll', 'let', 'know', ""'s"", 'room']",0,1,0,0
29,0,"['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']",0,0,0,0
30,0,"['wait', ""'s"", 'still', 'clear', 'sure', 'sarcast', ""'s"", 'x', ""n't"", 'want', 'live', 'us']",0,1,0,0
31,0,"['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wo', ""n't"", 'go', 'bad', 'cheer']",0,1,0,1
32,0,"['k', 'tell', 'anyth']",0,0,0,0
33,0,"['fear', 'faint', 'housework', 'quick', 'cuppa']",0,0,0,0
34,1,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', '£5/month', 'pleas', 'confirm', 'repli', 'yes', 'repli', 'charg']",0,1,0,0
35,0,"['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ü', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']",0,1,0,0
36,0,"['oop', 'll', 'let', 'know', 'roommat', ""'s"", 'done']",0,0,0,0
37,0,"['see', 'letter', 'b', 'car']",0,0,0,0
38,0,"['anyth', 'lor', 'u', 'decid']",0,0,0,0
39,0,"['hello', ""'s"", 'saturday', 'go', 'text', 'see', ""'d"", 'decid', 'anyth', 'tomo', ""'m"", 'tri', 'invit', 'anyth']",0,1,0,0
