,label,F1,F2,F3
0,ham,0,16,1
1,ham,0,6,1
2,ham,0,8,1
3,spam,0,21,2
4,spam,0,18,2
5,spam,0,18,3
6,ham,0,16,1
7,spam,0,22,1
8,ham,0,2,1
9,spam,1,14,2
10,ham,0,4,1
11,ham,0,9,2
12,ham,0,8,2
13,ham,0,15,2
14,ham,0,5,1
15,ham,0,17,2
16,ham,0,3,1
17,ham,0,7,1
18,ham,0,12,2
19,ham,0,20,2
20,ham,0,15,2
21,ham,0,7,1
22,ham,0,4,1
23,ham,0,14,2
24,ham,0,11,1
25,spam,0,20,2
26,ham,0,1,1
27,ham,0,10,1
28,ham,0,6,1
29,ham,0,10,1
30,ham,0,11,1
31,ham,0,7,1
32,spam,0,21,1
33,ham,0,5,1
34,ham,0,4,1
35,ham,0,14,1
36,ham,0,3,1
37,ham,0,6,1
38,ham,0,13,2
39,spam,0,17,1
40,ham,0,2,1
41,ham,0,6,1
42,ham,0,4,1
43,ham,0,7,1
44,ham,0,3,1
45,ham,0,5,2
46,ham,0,2,1
47,ham,0,14,1
48,ham,0,5,1
49,ham,0,21,6
50,spam,0,14,1
51,ham,0,16,2
52,spam,0,21,1
53,ham,0,5,1
54,ham,0,4,1
55,ham,0,13,1
56,ham,0,7,2
57,ham,0,9,2
58,ham,0,9,1
59,ham,0,12,1
60,ham,0,5,1
61,ham,0,2,1
62,ham,0,18,2
63,spam,0,18,1
64,ham,0,19,2
65,spam,0,18,2
66,ham,0,10,1
67,spam,0,21,1
68,ham,0,8,2
69,ham,0,18,2
70,ham,0,1,1
71,ham,0,3,1
72,ham,0,4,1
73,ham,0,19,2
74,ham,0,4,1
75,ham,0,4,1
76,ham,0,6,1
77,spam,0,21,2
78,ham,0,3,1
79,ham,0,11,2
80,ham,0,4,1
81,ham,0,2,1
82,ham,0,3,1
83,ham,0,11,1
84,ham,0,7,2
85,spam,0,21,3
86,spam,0,17,1
87,ham,0,10,1
88,ham,0,8,1
89,ham,0,17,1
90,ham,0,3,1
91,ham,0,23,2
92,ham,0,13,1
93,ham,0,5,1
94,ham,0,5,1
95,ham,0,4,1
96,ham,0,9,1
97,ham,0,4,1
98,ham,0,8,1
99,ham,0,17,2
100,ham,0,5,1
101,ham,0,5,1
102,ham,0,8,1
103,ham,0,5,1
104,ham,0,3,1
105,ham,0,2,1
106,ham,0,4,1
107,ham,0,3,1
108,ham,0,6,1
109,ham,0,6,1
110,ham,0,6,1
111,ham,0,14,2
112,ham,0,4,1
113,ham,0,19,2
114,spam,0,24,3
